NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12,label
0.153184165,0.222614841,0.498527556,0.611279826,0.285031847,0.11277533,0.529626253,0.546617066,0.604373757,0.571358509,0.620985011,0.496628001,cotton
0.137896825,0.106035889,0.169625992,0.330396476,0.594654788,0.22796748,0.578199052,0.66160405,0.783453637,0.777313121,0.729177312,0.636792453,cotton
0.12248062,0.088122605,0.18212078,0.376036866,0.431041581,0.350421585,0.63002681,0.724556962,0.844643373,0.673306773,0.736385162,0.635118306,cotton
0.085279188,0.091887046,0.140729126,0.243527508,0.22483468,0.046875,0.579179966,0.666856817,0.611009174,0.625422583,0.6121673,0.208681135,cotton
0.09167842,0.094313454,0.247900467,0.367800454,0.546882919,0.476697248,0.699308031,0.768818357,0.753445346,0.711491443,0.70703979,0.647930821,cotton
0.069425287,0.089437475,0.341625944,0.477272727,0.401512137,0.485559567,0.645995893,0.721054984,0.791509671,0.651018601,0.728515032,0.517911354,cotton
0.095734597,0.14349277,0.250549451,0.506927855,0.686219081,0.266536965,0.665932129,0.785984848,0.761609907,0.774968394,0.8126922,0.679664067,cotton
0.090909091,0.087586641,0.198640117,0.282405126,0.441826215,0.494015683,0.659619008,0.691695906,0.862710586,0.728882438,0.669457364,0.569498649,cotton
0.248351648,0.109055501,0.195110484,0.342990654,0.315361575,0.391588107,0.716188098,0.835339064,0.909162099,0.655613264,0.570131181,0.553707554,cotton
0.091393079,0.122232064,0.337025991,0.426532326,0.370590567,0.50660793,0.610808455,0.650925733,0.667829119,0.661552766,0.583042394,0.497164461,cotton
0.098770666,0.100236247,0.177167474,0.284934956,0.259048971,0.381283836,0.466721111,0.590392451,0.645409317,0.643087427,0.556237219,0.416831683,cotton
0.105893627,0.18096932,0.314262691,0.562876657,0.779758116,0.240789474,0.621091927,0.738363547,0.896482412,0.75663819,0.745236799,0.719487909,cotton
0.350058343,0.157894737,0.186379928,0.269430052,0.199678586,0.179692308,0.414333175,0.545237464,0.5856146,0.621159498,0.612275007,0.528250137,cotton
0.121588089,0.17781155,0.293969849,0.518755718,0.641726619,0.249261084,0.657230634,0.722391084,0.88130719,0.706111834,0.642454788,0.623243934,cotton
0.0824434,0.092389092,0.169842585,0.377986348,0.426829268,0.489525438,0.658362989,0.714029181,0.82292179,0.731846614,0.770368379,0.653333333,cotton
0.122286924,0.286956522,0.581337221,0.753406666,0.225461035,0.139920046,0.563539908,0.650013358,0.677011494,0.717253318,0.75255814,0.394833948,cotton
0.137876387,0.119592875,0.217965654,0.378432153,0.549882168,0.498210218,0.618263121,0.649019608,0.810731707,0.744512034,0.76386526,0.602023609,cotton
0.122586062,0.231437256,0.344856661,0.522349936,0.568893922,0.376957884,0.665029031,0.680587193,0.777538379,0.65896461,0.679529773,0.519764783,cotton
0.099035933,0.136009587,0.239937271,0.582468281,0.598430988,0.285996055,0.659704295,0.772763054,0.882970743,0.641887524,0.765964344,0.560945274,cotton
0.112373737,0.101943673,0.186107471,0.235772358,0.301362948,0.48502994,0.58961474,0.667206665,0.821444594,0.738812785,0.723744292,0.591374067,cotton
0.110052406,0.192873051,0.291170431,0.48559322,0.418584825,0.550761421,0.721370036,0.811066127,0.890996399,0.752075263,0.810180624,0.507526271,cotton
0.1152513,0.154826958,0.346201743,0.533826638,0.581338742,0.456422966,0.676497696,0.769602207,0.860313011,0.684473602,0.659279778,0.566519224,cotton
0.089342404,0.094939356,0.329957806,0.537696135,0.434423284,0.269267364,0.643037975,0.691845692,0.771047228,0.639506173,0.682044888,0.207171315,cotton
0.120044668,0.121748179,0.21691974,0.323504634,0.468624833,0.328054299,0.578163772,0.646258503,0.812448133,0.692307692,0.730013106,0.570175439,cotton
0.149556401,0.155973451,0.26984127,0.478303748,0.423616846,0.466186475,0.655458314,0.801092896,0.888039457,0.748974569,0.788925081,0.599762117,cotton
0.111650485,0.094416244,0.127596439,0.282334385,0.242497413,0.312720848,0.471941122,0.466329114,0.732307692,0.677580605,0.663634001,0.586455731,cotton
0.085344828,0.094430993,0.479530764,0.337997847,0.406213134,0.462885738,0.615835777,0.662428759,0.83360522,0.754639672,0.748420448,0.603453592,cotton
0.096303058,0.097852029,0.194703286,0.348127601,0.514460285,0.555645816,0.708409842,0.784517881,0.733563162,0.7236404,0.760731521,0.758849558,cotton
0.141356256,0.182139699,0.179780639,0.387243736,0.561576355,0.375722543,0.629732869,0.710741472,0.691899853,0.774464119,0.761269841,0.445242886,cotton
0.106067624,0.17084494,0.259587021,0.385485391,0.511013216,0.467589679,0.68179853,0.71282765,0.789299504,0.784647629,0.755309602,0.414910026,cotton
0.100848256,0.117123532,0.221707478,0.345945946,0.39025284,0.393526405,0.444983819,0.522601985,0.704127749,0.680072573,0.636098981,0.388601036,cotton
